SK_LOCALIDADE,VERSAO,DT_INICIO,DT_FIM,NK_ID_LOCALIDADE,NM_NEIGHBOURHOOD_GROUP,NM_NEIGHBOURHOOD,CD_LATITUDE,CD_LONGITUDE
1,1,,,,                                                                                                                                                                                                                                                          ,                                                                                                                                                                                                                                                          ,                    ,                    
2,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,1,Brooklyn                                                                                                                                                                                                                                                  ,Kensington                                                                                                                                                                                                                                                ,40.64749            ,-73.97237           
3,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,2,Manhattan                                                                                                                                                                                                                                                 ,Midtown                                                                                                                                                                                                                                                   ,40.75362            ,-73.98377           
4,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,3,Manhattan                                                                                                                                                                                                                                                 ,Harlem                                                                                                                                                                                                                                                    ,40.80902            ,-73.9419            
5,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,4,Brooklyn                                                                                                                                                                                                                                                  ,Clinton Hill                                                                                                                                                                                                                                              ,40.68514            ,-73.95976           
6,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,5,Manhattan                                                                                                                                                                                                                                                 ,East Harlem                                                                                                                                                                                                                                               ,40.79851            ,-73.94399           
7,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,6,Manhattan                                                                                                                                                                                                                                                 ,Murray Hill                                                                                                                                                                                                                                               ,40.74767            ,-73.975             
8,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,7,Brooklyn                                                                                                                                                                                                                                                  ,Bedford-Stuyvesant                                                                                                                                                                                                                                        ,40.68688            ,-73.95596           
9,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,8,Manhattan                                                                                                                                                                                                                                                 ,Hell'S Kitchen                                                                                                                                                                                                                                            ,40.76489            ,-73.98493           
10,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,9,Manhattan                                                                                                                                                                                                                                                 ,Upper West Side                                                                                                                                                                                                                                           ,40.80178            ,-73.96723           
11,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,10,Manhattan                                                                                                                                                                                                                                                 ,Chinatown                                                                                                                                                                                                                                                 ,40.71344            ,-73.99037           
12,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,11,Brooklyn                                                                                                                                                                                                                                                  ,South Slope                                                                                                                                                                                                                                               ,40.66829            ,-73.98779           
13,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,12,Manhattan                                                                                                                                                                                                                                                 ,West Village                                                                                                                                                                                                                                              ,40.7353             ,-74.00525           
14,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,13,Brooklyn                                                                                                                                                                                                                                                  ,Williamsburg                                                                                                                                                                                                                                              ,40.70837            ,-73.95352           
15,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,14,Brooklyn                                                                                                                                                                                                                                                  ,Fort Greene                                                                                                                                                                                                                                               ,40.69169            ,-73.97185           
16,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,15,Manhattan                                                                                                                                                                                                                                                 ,Chelsea                                                                                                                                                                                                                                                   ,40.74192            ,-73.99501           
17,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,16,Brooklyn                                                                                                                                                                                                                                                  ,Crown Heights                                                                                                                                                                                                                                             ,40.67592            ,-73.94694           
18,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,17,Brooklyn                                                                                                                                                                                                                                                  ,Park Slope                                                                                                                                                                                                                                                ,40.68069            ,-73.97706           
19,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,18,Brooklyn                                                                                                                                                                                                                                                  ,Windsor Terrace                                                                                                                                                                                                                                           ,40.65599            ,-73.97519           
20,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,19,Manhattan                                                                                                                                                                                                                                                 ,Inwood                                                                                                                                                                                                                                                    ,40.86754            ,-73.92639           
21,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,20,Manhattan                                                                                                                                                                                                                                                 ,East Village                                                                                                                                                                                                                                              ,40.7292             ,-73.98542           
22,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,21,Brooklyn                                                                                                                                                                                                                                                  ,Greenpoint                                                                                                                                                                                                                                                ,40.72219            ,-73.93762           
23,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,22,Brooklyn                                                                                                                                                                                                                                                  ,Bushwick                                                                                                                                                                                                                                                  ,40.70186            ,-73.92745           
24,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,23,Brooklyn                                                                                                                                                                                                                                                  ,Flatbush                                                                                                                                                                                                                                                  ,40.63702            ,-73.96327           
25,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,24,Manhattan                                                                                                                                                                                                                                                 ,Lower East Side                                                                                                                                                                                                                                           ,40.71401            ,-73.98917           
26,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,25,Brooklyn                                                                                                                                                                                                                                                  ,Prospect-Lefferts Gardens                                                                                                                                                                                                                                 ,40.65944            ,-73.96238           
27,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,26,Queens                                                                                                                                                                                                                                                    ,Long Island City                                                                                                                                                                                                                                          ,40.74771            ,-73.9474            
28,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,27,Manhattan                                                                                                                                                                                                                                                 ,Kips Bay                                                                                                                                                                                                                                                  ,40.73961            ,-73.98074           
29,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,28,Manhattan                                                                                                                                                                                                                                                 ,Soho                                                                                                                                                                                                                                                      ,40.7221             ,-73.99775           
30,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,29,Manhattan                                                                                                                                                                                                                                                 ,Upper East Side                                                                                                                                                                                                                                           ,40.77065            ,-73.95269           
31,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,30,Brooklyn                                                                                                                                                                                                                                                  ,Prospect Heights                                                                                                                                                                                                                                          ,40.67811            ,-73.96428           
32,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,31,Manhattan                                                                                                                                                                                                                                                 ,Washington Heights                                                                                                                                                                                                                                        ,40.83139            ,-73.94095           
33,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,32,Queens                                                                                                                                                                                                                                                    ,Woodside                                                                                                                                                                                                                                                  ,40.75038            ,-73.90334           
34,1,2000/01/01 00:00:00.000000000,2022/01/01 00:00:00.000000000,33,Brooklyn                                                                                                                                                                                                                                                  ,Brooklyn Heights                                                                                                                                                                                                                                          ,40.69723            ,-73.99268           
