PRICE;MIN_NIGHTS;QTD_VIEWS;REVIEWS_MONTH;CALC_HOST_LISTINGS_COUNT;AVAILABILITY_365;SK_DT_LAST_REVIEW;SK_ANUNCIO;SK_HOST;SK_ROOM_TYPE;SK_LOCALIDADE
125;2;271;3;2;347;20/06/2019;512;436;3;71
49;2;189;2;4;238;23/06/2019;1668;1362;3;71
450;2;45;1;4;342;02/07/2019;7020;6058;3;71
104;2;33;1;5;86;12/06/2019;15547;9293;3;71
105;2;73;3;5;87;13/06/2019;22196;9293;3;71
79;2;95;4;1;225;27/06/2019;26227;21781;3;71
70;2;7;0;1;0;02/01/2018;27881;23044;3;71
250;2;22;1;5;361;19/06/2019;30057;9293;3;71
142;2;31;2;5;312;01/07/2019;33252;27111;3;71
75;4;35;3;1;169;01/07/2019;34472;27937;3;71
90;5;1;0;1;157;02/01/2019;37387;29898;3;71
55;3;26;3;1;349;25/06/2019;37566;30045;3;71
75;1;7;1;1;1;20/01/2019;38162;30470;3;71
60;1;28;8;1;74;02/07/2019;42960;33473;3;71
100;2;0;;1;180;;43304;33689;3;71
140;2;1;1;1;175;30/06/2019;47939;36753;3;71
75;1;20;2;1;6;08/01/2019;29606;24419;3;217
83;30;3;1;1;316;28/06/2019;41807;32743;3;217
70;5;1;1;1;55;03/07/2019;43619;33869;3;217
250;2;21;0;4;333;22/05/2019;704;592;3;88
125;2;8;0;4;353;19/05/2019;706;592;3;88
625;4;1;0;4;335;01/11/2015;1623;592;3;88
60;1;25;1;3;12;07/07/2019;21393;17945;3;88
122;1;52;2;3;219;23/06/2019;22026;17945;3;88
71;2;30;2;1;306;14/06/2019;30117;24817;3;88
100;2;18;3;1;296;08/07/2019;39658;31393;3;88
150;2;12;4;1;85;01/07/2019;42105;32903;3;88
195;3;1;1;1;119;24/06/2019;46248;35513;3;88
199;1;1;1;1;81;30/06/2019;47518;36439;3;88
92;1;55;1;1;8;01/06/2017;1329;1142;3;108
150;1;109;1;1;358;22/06/2019;2438;2110;3;108
89;2;150;3;1;268;11/06/2019;7895;6782;3;108
120;1;26;1;1;14;28/06/2019;8480;7293;3;108
300;1;67;1;1;344;07/07/2019;8481;7294;3;108
250;2;89;2;1;300;26/05/2019;9209;7899;3;108
125;1;9;0;1;340;24/06/2019;10087;8708;3;108
200;1;15;1;1;354;23/06/2019;14060;12074;3;108
299;3;4;0;1;318;27/05/2019;15245;13026;3;108
750;1;14;0;2;352;08/06/2019;15264;13038;3;108
225;1;6;1;2;352;23/06/2019;15318;13038;3;108
200;2;35;1;1;4;06/07/2019;17274;14645;3;108
450;3;15;0;1;290;22/06/2019;18021;15270;3;108
150;2;20;1;1;76;07/07/2019;19266;16229;3;108
100;2;48;2;1;167;16/06/2019;20081;16893;3;108
85;2;99;3;1;56;22/06/2019;20338;17093;3;108
200;1;46;2;4;152;16/06/2019;20352;14819;3;108
250;2;48;2;1;280;30/06/2019;23228;19382;3;108
250;2;10;0;1;166;23/06/2019;23454;19562;3;108
86;2;23;2;1;20;04/06/2019;23675;19746;3;108
1500;3;0;;1;342;;23867;19903;3;108
60;1;53;2;1;0;30/06/2019;24419;20360;3;108
275;2;24;1;1;335;23/06/2019;25005;20833;3;108
150;2;2;0;1;309;11/03/2019;25166;20962;3;108
200;2;18;1;1;202;06/07/2019;27922;23081;3;108
250;4;40;2;1;183;24/06/2019;28236;23327;3;108
190;3;21;1;1;327;24/06/2019;31081;25526;3;108
175;2;0;;1;0;;31256;25654;3;108
350;2;25;2;2;332;07/07/2019;31965;26173;3;108
450;2;32;2;2;315;07/07/2019;32161;26173;3;108
325;3;21;2;1;299;23/06/2019;32567;26628;3;108
50;2;58;5;1;349;07/07/2019;33201;27082;3;108
140;1;36;3;1;70;23/06/2019;33557;27334;3;108
130;2;0;;1;215;;34849;28172;3;108
250;1;0;;1;90;;34867;28185;3;108
150;2;22;2;1;118;01/07/2019;35073;28312;3;108
100;1;12;2;1;65;30/05/2019;36160;29067;3;108
